iter	Passed	Remaining
516	957	894
517	959	892
518	960	890
519	961	887
520	963	885
521	965	883
522	966	881
523	967	879
524	969	876
525	970	874
526	971	872
527	973	870
528	974	867
529	976	865
530	977	863
531	978	861
532	980	859
533	981	856
534	983	854
535	984	852
536	985	849
537	987	847
538	988	845
539	990	844
540	992	841
541	993	839
542	995	837
543	996	835
544	997	832
545	999	830
546	1000	828
547	1002	826
548	1003	824
549	1004	822
550	1006	820
551	1007	817
552	1009	815
553	1010	813
554	1012	811
555	1013	809
556	1014	807
557	1016	804
558	1017	802
559	1018	800
560	1020	798
561	1021	796
562	1022	793
563	1024	791
564	1025	789
565	1027	787
566	1028	785
567	1030	783
568	1031	781
569	1032	779
570	1034	777
571	1035	775
572	1037	772
573	1038	770
574	1039	768
575	1041	766
576	1042	764
577	1043	762
578	1045	760
579	1046	757
580	1048	755
581	1049	753
582	1051	751
583	1052	749
584	1054	747
585	1055	745
586	1056	743
587	1058	741
588	1059	739
589	1060	737
590	1062	735
591	1063	733
592	1065	731
593	1066	728
594	1067	726
595	1069	724
596	1070	722
597	1072	720
598	1073	718
599	1075	716
600	1076	714
601	1078	712
602	1079	710
603	1081	709
604	1082	707
605	1084	705
606	1085	703
607	1087	700
608	1088	698
609	1090	696
610	1091	694
611	1092	692
612	1094	690
613	1095	688
614	1097	686
615	1098	684
616	1100	682
617	1101	680
618	1102	678
619	1104	676
620	1105	674
621	1107	672
622	1108	670
623	1109	668
624	1111	666
625	1113	665
626	1114	662
627	1115	660
628	1116	658
629	1118	656
630	1119	654
631	1121	652
632	1122	650
633	1123	648
634	1125	646
635	1127	645
636	1128	643
637	1129	641
638	1131	639
639	1132	637
640	1134	635
641	1135	633
642	1136	631
643	1138	629
644	1139	627
645	1140	625
646	1142	623
647	1143	621
648	1145	619
649	1146	617
650	1148	615
651	1149	613
652	1151	611
653	1152	609
654	1153	607
655	1154	605
656	1156	603
657	1157	601
658	1159	599
659	1160	597
660	1161	595
661	1163	593
662	1164	592
663	1166	590
664	1167	588
665	1168	586
666	1170	584
667	1171	582
668	1172	580
669	1174	578
670	1175	576
671	1177	574
672	1178	572
673	1179	570
674	1181	568
675	1182	566
676	1184	564
677	1185	562
678	1186	561
679	1188	559
680	1189	557
681	1190	555
682	1192	553
683	1193	551
684	1195	549
685	1196	547
686	1197	545
687	1198	543
688	1200	541
689	1202	540
690	1203	538
691	1205	536
692	1206	534
693	1208	532
694	1210	531
695	1211	529
696	1213	527
697	1214	525
698	1216	523
699	1217	521
700	1219	520
701	1220	518
702	1222	516
703	1223	514
704	1225	512
705	1227	511
706	1228	509
707	1229	507
708	1231	505
709	1233	503
710	1234	501
711	1235	499
712	1237	498
713	1238	496
714	1240	494
715	1241	492
716	1243	490
717	1244	488
718	1246	487
719	1247	485
720	1249	483
721	1250	481
722	1252	479
723	1253	477
724	1254	475
725	1256	474
726	1257	472
727	1259	470
728	1260	468
729	1261	466
730	1263	464
731	1264	463
732	1265	461
733	1267	459
734	1268	457
735	1270	455
736	1271	453
737	1272	451
738	1274	450
739	1276	448
740	1277	446
741	1278	444
742	1280	442
743	1282	441
744	1283	439
745	1284	437
746	1286	435
747	1287	433
748	1289	432
749	1291	430
750	1292	428
751	1293	426
752	1295	424
753	1296	423
754	1297	421
755	1299	419
756	1300	417
757	1302	415
758	1303	413
759	1304	411
760	1306	410
761	1307	408
762	1308	406
763	1310	404
764	1311	402
765	1312	401
766	1314	399
767	1315	397
768	1317	395
769	1318	393
770	1320	392
771	1321	390
772	1322	388
773	1324	386
774	1325	384
775	1327	383
776	1328	381
777	1330	379
778	1332	377
779	1333	376
780	1335	374
781	1336	372
782	1338	370
783	1339	368
784	1340	367
785	1341	365
786	1343	363
787	1344	361
788	1345	359
789	1347	358
790	1348	356
791	1350	354
792	1351	352
793	1353	351
794	1354	349
795	1355	347
796	1357	345
797	1358	343
798	1359	342
799	1361	340
800	1362	338
801	1364	336
802	1365	335
803	1366	333
804	1368	331
805	1369	329
806	1370	327
807	1372	326
808	1373	324
809	1374	322
810	1376	320
811	1378	319
812	1379	317
813	1381	315
814	1382	313
815	1383	312
816	1385	310
817	1386	308
818	1387	306
819	1389	304
820	1390	303
821	1391	301
822	1393	299
823	1395	297
824	1396	296
825	1397	294
826	1399	292
827	1400	290
828	1402	289
829	1403	287
830	1404	285
831	1406	283
832	1407	282
833	1409	280
834	1410	278
835	1412	276
836	1413	275
837	1414	273
838	1416	271
839	1417	269
840	1418	268
841	1420	266
842	1421	264
843	1422	263
844	1424	261
845	1425	259
846	1427	257
847	1428	256
848	1430	254
849	1431	252
850	1432	250
851	1434	249
852	1435	247
853	1437	245
854	1438	243
855	1439	242
856	1441	240
857	1442	238
858	1443	236
859	1444	235
860	1446	233
861	1447	231
862	1448	229
863	1450	228
864	1451	226
865	1453	224
866	1454	223
867	1455	221
868	1457	219
869	1458	217
870	1459	216
871	1460	214
872	1462	212
873	1464	211
874	1465	209
875	1466	207
876	1467	205
877	1469	204
878	1470	202
879	1472	200
880	1473	199
881	1474	197
882	1476	195
883	1477	193
884	1478	192
885	1480	190
886	1481	188
887	1482	187
888	1484	185
889	1485	183
890	1486	181
891	1487	180
892	1489	178
893	1490	176
894	1491	175
895	1492	173
896	1494	171
897	1495	169
898	1496	168
899	1498	166
900	1499	164
901	1500	163
902	1501	161
903	1503	159
904	1504	157
905	1506	156
906	1507	154
907	1508	152
908	1510	151
909	1511	149
910	1512	147
911	1514	146
912	1515	144
913	1516	142
914	1517	140
915	1519	139
916	1520	137
917	1521	135
918	1522	134
919	1524	132
920	1525	130
921	1526	129
922	1527	127
923	1529	125
924	1530	124
925	1531	122
926	1533	120
927	1534	119
928	1535	117
929	1537	115
930	1538	114
931	1539	112
932	1541	110
933	1542	108
934	1543	107
935	1545	105
936	1546	103
937	1547	102
938	1548	100
939	1550	98
940	1551	97
941	1552	95
942	1554	93
943	1555	92
944	1556	90
945	1558	88
946	1559	87
947	1561	85
948	1562	83
949	1563	82
950	1565	80
951	1566	78
952	1567	77
953	1569	75
954	1570	74
955	1572	72
956	1573	70
957	1574	69
958	1575	67
959	1577	65
960	1578	64
961	1580	62
962	1581	60
963	1582	59
964	1584	57
965	1585	55
966	1586	54
967	1588	52
968	1589	50
969	1590	49
970	1591	47
971	1593	45
972	1594	44
973	1596	42
974	1597	40
975	1598	39
976	1599	37
977	1601	36
978	1602	34
979	1604	32
980	1605	31
981	1606	29
982	1608	27
983	1609	26
984	1610	24
985	1611	22
986	1613	21
987	1614	19
988	1615	17
989	1617	16
990	1618	14
991	1619	13
992	1621	11
993	1622	9
994	1623	8
995	1624	6
996	1626	4
997	1627	3
998	1628	1
999	1630	0
